3638,BE
2304,NE
2303,NE
2301,NE
2300,NE
3631,BE
3632,BE
3633,BE
3634,BE
3635,BE
3636,BE
2316,NE
2314,NE
3645,BE
3646,BE
3647,BE
2318,NE
3661,BE
3662,BE
1000,VD
2325,NE
2322,NE
3652,BE
3653,BE
3654,BE
3655,BE
3656,BE
3657,BE
3658,BE
3671,BE
3672,BE
3673,BE
1011,VD
1010,VD
2340,JU
1008,VD
1007,VD
2338,JU
1006,VD
1005,VD
2336,JU
1004,VD
1003,VD
1002,VD
2333,BE
1001,VD
3663,BE
3664,BE
3665,BE
1009,VD
1022,VD
2353,JU
1020,VD
2350,JU
1019,VD
1018,VD
6707,TI
1017,VD
1015,VD
1014,VD
2345,BE
1012,VD
3674,BE
6702,TI
6703,TI
6705,TI
6720,TI
1033,VD
2364,JU
1032,VD
2363,JU
1031,VD
2362,JU
1030,VD
2360,JU
6719,TI
1029,VD
6718,TI
1028,VD
1027,VD
1026,VD
1025,VD
1024,VD
1023,VD
2354,JU
6710,TI
6713,TI
6715,TI
6714,TI
6717,TI
6716,TI
5400,AG
1044,VD
1043,VD
1042,VD
1041,VD
1040,VD
1039,VD
1038,VD
1037,VD
1036,VD
1035,VD
1034,VD
6722,TI
6721,TI
6724,TI
6723,TI
6742,TI
1055,VD
1054,VD
1053,VD
1052,VD
1047,VD
1046,VD
1045,VD
5401,AG
5402,AG
5404,AG
5405,AG
5406,AG
5408,AG
5420,AG
1066,VD
1063,VD
1062,VD
1061,VD
1059,VD
1058,VD
6744,TI
5412,AG
6743,TI
5413,AG
6746,TI
6745,TI
5415,AG
6748,TI
5416,AG
6747,TI
5417,AG
6749,TI
6760,TI
5430,AG
6764,TI
4101,BL
5432,AG
6763,TI
4102,BL
1077,VD
1076,VD
1073,VD
1072,VD
1071,VD
1070,VD
1068,VD
5423,AG
5425,AG
5426,AG
1080,VD
6773,TI
6772,TI
5442,AG
6775,TI
4112,SO
5443,AG
6774,TI
5444,AG
1088,VD
1085,VD
1084,VD
1083,VD
1082,VD
1081,VD
1078,VD
4103,BL
4104,BL
4105,BL
5436,AG
4106,BL
4107,BL
4108,SO
1091,VD
6780,TI
1090,VD
6781,TI
